2022-01-09 22:11:03.818 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:11:53.009 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:11:55.431 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:11:55.431 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:11:58.279 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:11:58.279 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:12:04.584 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:12:04.584 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:12:07.175 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:12:07.175 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:12:09.847 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:12:09.847 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
